COMP,GAP,TRT,BA_13_AC,BA_18_AC,SBAI_imp,SBAI,TBAI
10,O,MH,14.007,46.141,6.42672,1.475372107,0.61499
10,Q,MH,11.72895686,36.77969829,5.010148286,1.150171783,0.627355752
30,A,M,24.61219763,54.30922763,5.939406,1.3635,0.332552391
30,B,M,9.903555,24.457554,2.9107998,0.668227686,0.333263718
50,D,M,32.28158435,59.51982282,5.447647694,1.250607827,0.216803236
50,E,MH,22.84987388,44.85540038,4.4011053,1.010354752,0.214957459
60,F,MH,17.5744242,49.1230872,6.3097326,1.448515289,0.412702967
60,G,M,12.43512,32.555532,4.0240824,0.923802204,0.519014206
60,H,MBB,60.06574108,105.8445194,9.155755662,2.101872282,0.317600156
60,I,MBB,12.31265291,30.87806891,3.7130832,0.852406612,0.331281763
60,J,MBB,22.1721462,49.7464794,5.51486664,1.266039174,0.292855742
400,F,BB,46.92962475,75.68311275,5.7506976,1.320178512,0.221369316
400,G,BB,73.64468025,139.9642976,13.26392348,3.044977841,0.201207208
400,H,BB,71.0787096,117.7965828,9.34357464,2.144989587,0.198728133